名称,链接,学校,组别,获奖,年份,备注
进取号E,"<https://github.com/ittuann/Enterprise_E>{:target=""_blank""}",东北林业大学,全向行进组,国1,2021,
东林寻光-尾车,"<https://github.com/wu58430/smartcar-C>{:target=""_blank""}",东北林业大学,多车编队组,国1,2022,
东林寻光-去畸变软件,"<https://github.com/wu58430/RUBO-UDIPM>{:target=""_blank""}",东北林业大学,多车编队组,国1,2022,透视变换-去畸变软件
铁滑团,"<https://github.com/Y1ZzLu/openart_fw_18th>{:target=""_blank""}",华北电力大学（保定）,智能视觉组,国1,2023,openart固件
神魔都队,"<https://blog.csdn.net/qtzbxjg/article/details/128621625>{:target=""_blank""}",中国石油大学（华东）,智能视觉组,国1,2022,
顽强土拨鼠,"<https://www.bilibili.com/video/BV1vY411y7KX>{:target=""_blank""}",攀枝花学院,智能视觉组,国1,2022,
