名称,链接,获奖,组别,学校,年份,备注
进取号E,"<https://github.com/ittuann/Enterprise_E>{:target=""_blank""}",国1,全向行进组,东北林业大学,2021,
AuTop,"<https://github.com/SJTU-AuTop/RT1064-Code>{:target=""_blank""}",省3,智能视觉组,上海交通大学,2021,
