名称,链接,获奖,组别,学校,年份,备注
东林寻光-尾车,"<https://github.com/wu58430/smartcar-C>{:target=""_blank""}",国1,多车编队组,东北林业大学,2022,
东林寻光-去畸变软件,"<https://github.com/wu58430/RUBO-UDIPM>{:target=""_blank""}",国1,多车编队组,东北林业大学,2022,透视变换-去畸变软件
