名称,链接,学校,组别,获奖,年份,备注
铁滑团,"<https://github.com/Y1ZzLu/openart_fw_18th>{:target=""_blank""}",华北电力大学（保定）,智能视觉组,国1,2023,openart固件
神魔都队,"<https://blog.csdn.net/qtzbxjg/article/details/128621625>{:target=""_blank""}",中国石油大学（华东）,智能视觉组,国1,2022,
顽强土拨鼠,"<https://www.bilibili.com/video/BV1vY411y7KX>{:target=""_blank""}",攀枝花学院,智能视觉组,国1,2022,
地灵殿的装修队,"<https://github.com/FredBill1/RT1064_Smartcar>{:target=""_blank""}",中国矿业大学（北京）,智能视觉组,国2,2022,
DZXS-天眼,"<https://github.com/JinHeMu/smart-car>{:target=""_blank""}",大连交通大学,智能视觉组,省1,2023,
视觉小白队,"<https://github.com/0clock/smartcar2022>{:target=""_blank""}",安徽科技学院,智能视觉组,省2,2022,
AuTop,"<https://github.com/SJTU-AuTop/RT1064-Code>{:target=""_blank""}",上海交通大学,智能视觉组,省3,2021,
